01idhab;02idpolhab;03numsite;04cdhab;05lbhab;06rechab;07surfhab;08calrecha;09habdom;10cohabpol;11cdhabref;12lball;13autall;14lbsal;15autsal;16lbass;17autass;18formveg;19stadhhab;20cdn2000;21lbn2000;22cdcahab;23lbcahab;24cdcb;25lbcb;26cdeunis;27lbeunis;28cddynhab;29lbdynhab;30cdusagpr;31lbusagpr;32plusages;33cddegprh;34lbdegprh;35pldeghab;36cdedchab;37lbedchab;38cdgest;39lbgest;40plgest;41cdrestau;42lbrestau;43cdhabori;44cocbn;45evalcbn;46uuidhab;47uuidpol;;;;;;;;;;;;;;;;;;;;
1752;1752;FR8201720;QUE_ROB1;Chênaie-boulaie acidophile mésoxérophile des Alpes du Nord à callune;100;2,22;O;oui;;20676;Quercion roboris;Malcuit 1929;Quercenion robori-petraeae;Rivas Mart. 1975;non renseigné;non renseigné;Boisement feuillu  (mésophile à sec);NC;NC;non concerné;NC;non concerné;41.57;Chênaies acidiphiles médio-européennes;G1.87;Chênaies acidophiles médio-européennes;1;stable;NR;non renseigné;U;B02;Gestion des forêts et des plantations & exploitation;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1753;1753;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,17;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1754;1754;FR8201720;CEP_FAG;Hêtraies et hêtraies-pinèdes sylvestres semisèches à céphalanthères (Cephalanthera spp.) des sols calcaires ou peu acides;100;0,12;O;oui;;31669;Cephalanthero damasonii-Fagion sylvaticae;(Tüxen 1955) Willner 2002;non renseigné;non renseigné;non renseigné;non renseigné;Forêts;IC;9150;Hêtraies calcicoles médio-européennes du Cephalanthero-Fagion;9150;Hêtraies calcicoles médio-européennes du Cephalanthero-Fagion;41.16;Hêtraies sur calcaire;G1.66;Hêtraies calcicoles médio-européennes;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1755;1755;FR8201720;CAL_PAL;Prairies humides médio-européennes des sols paratourbeux mésotrophes;100;0,05;O;oui;;16627;Calthion palustris;Tüxen 1937;non renseigné;non renseigné;non renseigné;non renseigné;prairie humide;NC;NC;non concerné;NC;non concerné;37.21;Prairies humides atlantiques et subatlantiques;E3.41;Prairies atlantiques et subatlantiques humides;3;régressive;A03;Fauche de prairies;U;G02.01;Terrain de golf;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1756;1756;FR8201720;MAG_ELA;Magnocariçaies des sols organiques mésotrophes à eutrophes, inondées ou très humides, à laîche élevée (Carex elata) et formations apparentées;100;0,3;O;oui;;30984;Magnocaricion elatae;Koch 1926;non renseigné;non renseigné;non renseigné;non renseigné;roselières et magnocariçaies;NC;NC;non concerné;NC;non concerné;53.21;Peuplements de grandes laîches (Magnocariçaies);D5.21;Communautés de grands Carex (magnocariçaies);1;stable;A03;Fauche de prairies;U;K02.01;Modification de la composition spécifique (succession);N;3;Défavorable mauvais;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1758;1758;FR8201720;CHE_ANT;Murs des vieilles villes;100;0,33;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;86;Villes, villages et sites industriels;J1;Bâtiments des villes et des villages;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
16152;1615;FR8201720;SOL_NU;Sol nu;10;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1759;1759;FR8201720;MES_BRO2;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);90;0,29;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);PR;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A03;Fauche de prairies;U;G02.01;Terrain de golf;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
17592;1759;FR8201720;SOL_NU;Sol nu;10;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1760;1760;FR8201720;MES_BRO2;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);90;0,41;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);PR;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A03;Fauche de prairies;U;G02.01;Terrain de golf;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1761;1761;FR8201720;MES_BRO1;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);100;0,2;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);IC;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A03;Fauche de prairies;U;G02.01;Terrain de golf;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1762;1762;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,16;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1763;1763;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,04;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1764;1764;FR8201720;MES_BRO1;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);100;0,13;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);IC;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A03;Fauche de prairies;U;G02.01;Terrain de golf;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1765;1765;FR8201720;CHE_ANT;Murs des vieilles villes;100;0,03;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;86;Villes, villages et sites industriels;J1;Bâtiments des villes et des villages;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1766;1766;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,02;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1767;1767;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1768;1768;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1769;1769;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1770;1770;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1771;1771;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1772;1772;FR8201720;GOL_MUR;Murs des vieilles villes;100;0;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;86;Villes, villages et sites industriels;J1.31;Murs des vieilles villes;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1773;1773;FR8201720;GOL_MUR;Murs des vieilles villes;100;0;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;86;Villes, villages et sites industriels;J1.31;Murs des vieilles villes;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1774;1774;FR8201720;GOL_GAZ;Gazon des stades sportifs;100;0,13;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85.12;Pelouses de parcs;E2.63;Gazons des stades sportifs;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1776;1776;FR8201720;GOL_MUR;Murs des vieilles villes;100;0;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;86;Villes, villages et sites industriels;J1.31;Murs des vieilles villes;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1777;1777;FR8201720;CHE_ANT;Murs des vieilles villes;100;0;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;86;Villes, villages et sites industriels;J1;Bâtiments des villes et des villages;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1778;1778;FR8201720;CHE_ANT;Murs des vieilles villes;100;0,01;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;86;Villes, villages et sites industriels;J1;Bâtiments des villes et des villages;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1779;1779;FR8201720;MES_BRO2;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);90;0,28;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);PR;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A03;Fauche de prairies;U;G02.01;Terrain de golf;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
17602;1760;FR8201720;SOL_NU;Sol nu;10;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
17792;1779;FR8201720;SOL_NU;Sol nu;10;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1780;1780;FR8201720;CAR_FAG;Charmaies-chênaies et hêtraies-chênaies collinéennes mésophiles (et faciès à Castanea sativa) des sols peu acides à basiques;100;0,06;O;oui;;31640;Carpino betuli-Fagion sylvaticae;R. Boeuf, Renaux & J.-M. Royer in R. Boeuf 2011;non renseigné;non renseigné;non renseigné;non renseigné;boisement feuillu  (mésophile à sec);IC;9130;Hêtraies de l'Asperulo-Fagetum;9130;Hêtraies de l'Asperulo-Fagetum;41.2;Chênaies-charmaies;G1.A1;Boisements sur sols eutrophes et mésotrophes à Quercus, Fraxinus et Carpinus betulus;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1783;1783;FR8201720;CEP_FAG;Hêtraies et hêtraies-pinèdes sylvestres semisèches à céphalanthères (Cephalanthera spp.) des sols calcaires ou peu acides;100;1,51;O;oui;;31669;Cephalanthero damasonii-Fagion sylvaticae;(Tüxen 1955) Willner 2002;non renseigné;non renseigné;non renseigné;non renseigné;Forêts;IC;9150;Hêtraies calcicoles médio-européennes du Cephalanthero-Fagion;9150;Hêtraies calcicoles médio-européennes du Cephalanthero-Fagion;41.16;Hêtraies sur calcaire;G1.66;Hêtraies calcicoles médio-européennes;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
17842;1784;FR8201720;SOL_NU;Sol nu;15;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1784;1784;FR8201720;MES_BRO1;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);85;0,26;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);IC;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A03;Fauche de prairies;U;A03.01;Fauche intensive ou intensification;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1785;1785;FR8201720;MES_BRO1;Prairie fauchée/paturée collinéo-montagnarde neutrocline à tendance mésoxérophile à Brome érigé (Bromopsis erecta) et Sainfoin des prés (Onobrychis viciifolia);100;1,16;O;oui;;-1;Mesobromion erecti;W. Koch 1926;Mesobromenion erecti;Br.-Bl. & Moor 1938;Mesobrometum erecti;W. Koch 1926;pelouse (de basse et moyenne altitude);IC;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco Brometalia) (* sites d'orchidées remarquables);6210-15;Pelouses calcicoles mésophiles de l'Est;34.322;Pelouses semi-sèches médio-européennes à Bromus erectus;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;1;stable;A04;Pâturage;U;A04;Pâturage;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1788;1788;FR8201720;ARR_ELA2;Prairies mésophiles de fauche de basse altitude à fromental (Arrhenatherum elatius);100;2,55;O;oui;;30583;Arrhenatherion elatioris;W. Koch 1926;non renseigné;non renseigné;non renseigné;non renseigné;prairies mésophiles de fauche et de pâture;IC;6510;Pelouses de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);6510;Pelouses maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);38.22;Prairies de fauche des plaines médio-européennes;E2.22;Prairies de fauche planitiaires subatlantiques;1;stable;A03;Fauche de prairies;U;A08;Fertilisation;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1789;1789;FR8201720;ARR_ELA2;Prairies mésophiles de fauche de basse altitude à fromental (Arrhenatherum elatius);100;0,69;O;oui;;30583;Arrhenatherion elatioris;W. Koch 1926;non renseigné;non renseigné;non renseigné;non renseigné;prairies mésophiles de fauche et de pâture;IC;6510;Pelouses de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);6510;Pelouses maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);38.22;Prairies de fauche des plaines médio-européennes;E2.22;Prairies de fauche planitiaires subatlantiques;1;stable;A03;Fauche de prairies;U;A08;Fertilisation;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1792;1792;FR8201720;ARR_ELA2;Prairies mésophiles de fauche de basse altitude à fromental (Arrhenatherum elatius);100;1,41;O;oui;;30583;Arrhenatherion elatioris;W. Koch 1926;non renseigné;non renseigné;non renseigné;non renseigné;prairies mésophiles de fauche et de pâture;IC;6510;Pelouses de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);6510;Pelouses maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);38.22;Prairies de fauche des plaines médio-européennes;E2.22;Prairies de fauche planitiaires subatlantiques;1;stable;A03;Fauche de prairies;U;A08;Fertilisation;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1793;1793;FR8201720;ARR_ELA2;Prairies mésophiles de fauche de basse altitude à fromental (Arrhenatherum elatius);100;0,68;O;oui;;30583;Arrhenatherion elatioris;W. Koch 1926;non renseigné;non renseigné;non renseigné;non renseigné;prairies mésophiles de fauche et de pâture;IC;6510;Pelouses de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);6510;Pelouses maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);38.22;Prairies de fauche des plaines médio-européennes;E2.22;Prairies de fauche planitiaires subatlantiques;1;stable;A03;Fauche de prairies;U;A08;Fertilisation;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
17952;1795;FR8201720;SOL_NU;Sol nu;20;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1795;1795;FR8201720;ARR_ELA2;Prairies mésophiles de fauche de basse altitude à fromental (Arrhenatherum elatius);80;1,02;O;oui;;30583;Arrhenatherion elatioris;W. Koch 1926;non renseigné;non renseigné;non renseigné;non renseigné;prairies mésophiles de fauche et de pâture;IC;6510;Pelouses de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);6510;Pelouses maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);38.22;Prairies de fauche des plaines médio-européennes;E2.22;Prairies de fauche planitiaires subatlantiques;1;stable;A03;Fauche de prairies;U;A08;Fertilisation;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1796;1796;FR8201720;ARR_ELA2;Prairies mésophiles de fauche de basse altitude à fromental (Arrhenatherum elatius);100;1,76;O;oui;;30583;Arrhenatherion elatioris;W. Koch 1926;non renseigné;non renseigné;non renseigné;non renseigné;prairies mésophiles de fauche et de pâture;IC;6510;Pelouses de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);6510;Pelouses maigres de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);38.22;Prairies de fauche des plaines médio-européennes;E2.22;Prairies de fauche planitiaires subatlantiques;1;stable;A04;Pâturage;U;A04;Pâturage;N;2;Défavorable inadéquat;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1798;1798;FR8201720;QUE_ROB1;Chênaie-boulaie acidophile mésoxérophile des Alpes du Nord à callune;100;1,83;O;oui;;20676;Quercion roboris;Malcuit 1929;Quercenion robori-petraeae;Rivas Mart. 1975;non renseigné;non renseigné;Boisement feuillu  (mésophile à sec);NC;NC;non concerné;NC;non concerné;41.57;Chênaies acidiphiles médio-européennes;G1.87;Chênaies acidophiles médio-européennes;1;stable;NR;non renseigné;U;B02;Gestion des forêts et des plantations & exploitation;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1799;1799;FR8201720;GOL_SAB;Sable stable avec peu ou pas de végétation;100;0,02;O;oui;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;pelouses anthropisées;NC;NC;non concerné;NC;non concerné;85;Parcs urbains et grands jardins;H5.32;Sable stable avec peu ou pas de végétation;-1;non renseigné;NR;non renseigné;U;G02.01;Terrain de golf;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
1800;1800;FR8201720;CAR_FAG;Charmaies-chênaies et hêtraies-chênaies collinéennes mésophiles (et faciès à Castanea sativa) des sols peu acides à basiques;100;0,1;O;oui;;31640;Carpino betuli-Fagion sylvaticae;R. Boeuf, Renaux & J.-M. Royer in R. Boeuf 2011;non renseigné;non renseigné;non renseigné;non renseigné;boisement feuillu  (mésophile à sec);IC;9130;Hêtraies de l'Asperulo-Fagetum;9130;Hêtraies de l'Asperulo-Fagetum;41.2;Chênaies-charmaies;G1.A1;Boisements sur sols eutrophes et mésotrophes à Quercus, Fraxinus et Carpinus betulus;1;stable;NR;non renseigné;U;B;Sylviculture et opérations forestières;N;1;Favorable;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
18012;1801;FR8201720;SOL_NU;Sol nu;15;0,28;O;non;;-1;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;non renseigné;NC;NC;non concerné;NC;non concerné;NC;non concerné;NC;non concerné;-1;non renseigné;NR;non renseigné;U;NR;non renseigné;U;-1;Non renseigné;NR;non renseigné;U;-1;Non renseigné;;;;;;;;;;;;;;;;;;;;;;;;;
